date,provider,resource_id,resource_type,service,region,vcpu,memory_gb,cpu_util_percent,cpu_hours,memory_gb_hours,storage_gb,network_gb,is_spot,idle_flag,cost_usd
2025-05-13,aws,aws-001,vm,EC2,us-east-1,4,8,39.5,9.48,3.418,509.681,17.775,False,False,2.4976
2025-05-14,aws,aws-001,vm,EC2,us-east-1,4,8,40.246,9.659,2.488,515.901,16.414,False,False,2.6
2025-05-15,aws,aws-001,vm,EC2,us-east-1,4,8,46.463,11.151,2.477,510.175,10.642,False,False,2.5571
2025-05-16,aws,aws-001,vm,EC2,us-east-1,4,8,32.388,7.773,2.203,507.162,11.865,False,False,2.2105
2025-05-17,aws,aws-001,vm,EC2,us-east-1,4,8,19.511,4.683,1.634,514.676,12.694,False,False,1.5724
2025-05-18,aws,aws-001,vm,EC2,us-east-1,4,8,24.101,5.784,2.043,513.279,9.732,False,False,1.8747
2025-05-19,aws,aws-001,vm,EC2,us-east-1,4,8,29.212,7.011,2.529,517.862,11.528,False,False,1.9561
2025-05-20,aws,aws-001,vm,EC2,us-east-1,4,8,35.498,8.52,2.127,513.774,10.686,False,False,2.3441
2025-05-21,aws,aws-001,vm,EC2,us-east-1,4,8,33.902,8.136,2.607,514.541,9.875,False,False,1.981
2025-05-22,aws,aws-001,vm,EC2,us-east-1,4,8,27.996,6.719,2.402,510.594,12.278,False,False,1.992
2025-05-23,aws,aws-001,vm,EC2,us-east-1,4,8,27.838,6.681,1.265,518.833,11.395,False,False,2.0242
2025-05-24,aws,aws-001,vm,EC2,us-east-1,4,8,22.893,5.494,1.487,515.81,14.009,False,False,1.7733
2025-05-25,aws,aws-001,vm,EC2,us-east-1,4,8,18.441,4.426,0.856,518.515,14.91,False,False,1.4745
2025-05-26,aws,aws-001,vm,EC2,us-east-1,4,8,35.266,8.464,1.642,510.707,15.179,False,False,2.2066
2025-05-27,aws,aws-001,vm,EC2,us-east-1,4,8,31.699,7.608,2.05,518.353,9.301,False,False,2.0911
2025-05-28,aws,aws-001,vm,EC2,us-east-1,4,8,37.27,8.945,3.034,516.456,13.284,False,False,2.1977
2025-05-29,aws,aws-001,vm,EC2,us-east-1,4,8,34.605,8.305,2.202,516.702,14.199,False,False,2.0974
2025-05-30,aws,aws-001,vm,EC2,us-east-1,4,8,29.001,6.96,1.266,513.796,12.159,False,False,1.9016
2025-05-31,aws,aws-001,vm,EC2,us-east-1,4,8,20.02,4.805,1.442,520.265,9.14,False,False,1.4101
2025-06-01,aws,aws-001,vm,EC2,us-east-1,4,8,19.585,4.7,0.942,515.254,8.793,False,False,1.4048
2025-06-02,aws,aws-001,vm,EC2,us-east-1,4,8,35.615,8.548,1.777,514.894,11.027,False,False,2.2832
2025-06-03,aws,aws-001,vm,EC2,us-east-1,4,8,28.36,6.806,1.188,519.844,14.295,False,False,1.7978
2025-06-04,aws,aws-001,vm,EC2,us-east-1,4,8,37.043,8.89,2.915,517.937,8.68,False,False,2.1246
2025-06-05,aws,aws-001,vm,EC2,us-east-1,4,8,40.325,9.678,2.33,526.022,10.036,False,False,2.3348
2025-06-06,aws,aws-001,vm,EC2,us-east-1,4,8,45.037,10.809,1.881,518.453,13.635,False,False,2.7559
2025-06-07,aws,aws-001,vm,EC2,us-east-1,4,8,20.564,4.935,1.328,516.583,10.732,False,False,1.6064
2025-06-08,aws,aws-001,vm,EC2,us-east-1,4,8,19.303,4.633,1.022,520.41,9.903,False,False,1.5028
2025-06-09,aws,aws-001,vm,EC2,us-east-1,4,8,39.391,9.454,1.975,517.78,9.893,False,False,2.4993
2025-06-10,aws,aws-001,vm,EC2,us-east-1,4,8,46.258,11.102,3.603,523.045,8.488,False,False,2.6119
2025-06-11,aws,aws-001,vm,EC2,us-east-1,4,8,39.411,9.459,2.687,519.378,15.692,False,False,2.2542
2025-06-12,aws,aws-001,vm,EC2,us-east-1,4,8,35.692,8.566,2.534,516.852,5.115,False,False,2.347
2025-06-13,aws,aws-001,vm,EC2,us-east-1,4,8,42.316,10.156,2.923,520.216,10.3,False,False,2.3226
2025-06-14,aws,aws-001,vm,EC2,us-east-1,4,8,20.788,4.989,1.018,520.139,8.013,False,False,1.7705
2025-06-15,aws,aws-001,vm,EC2,us-east-1,4,8,20.663,4.959,0.906,514.392,12.55,False,False,1.8406
2025-06-16,aws,aws-001,vm,EC2,us-east-1,4,8,35.87,8.609,3.104,519.477,11.573,False,False,2.1292
2025-06-17,aws,aws-001,vm,EC2,us-east-1,4,8,36.985,8.876,1.783,524.085,11.51,False,False,2.2947
2025-06-18,aws,aws-001,vm,EC2,us-east-1,4,8,29.367,7.048,2.259,524.43,9.011,False,False,1.925
2025-06-19,aws,aws-001,vm,EC2,us-east-1,4,8,31.075,7.458,2.0,521.724,9.826,False,False,2.0706
2025-06-20,aws,aws-001,vm,EC2,us-east-1,4,8,36.048,8.651,1.709,518.415,19.216,False,False,2.1291
2025-06-21,aws,aws-001,vm,EC2,us-east-1,4,8,16.308,3.914,0.916,521.894,12.672,False,False,1.5605
2025-06-22,aws,aws-001,vm,EC2,us-east-1,4,8,20.198,4.847,1.265,528.325,5.174,False,False,1.7393
2025-06-23,aws,aws-001,vm,EC2,us-east-1,4,8,29.212,7.011,2.333,524.809,10.969,False,False,1.8413
2025-06-24,aws,aws-001,vm,EC2,us-east-1,4,8,32.7,7.848,2.21,524.133,10.425,False,False,2.2148
2025-06-25,aws,aws-001,vm,EC2,us-east-1,4,8,32.788,7.869,1.629,523.945,9.83,False,False,2.2198
2025-06-26,aws,aws-001,vm,EC2,us-east-1,4,8,33.52,8.045,1.918,531.426,9.994,False,False,2.2566
2025-06-27,aws,aws-001,vm,EC2,us-east-1,4,8,35.998,8.64,2.199,523.471,4.173,False,False,2.0809
2025-06-28,aws,aws-001,vm,EC2,us-east-1,4,8,19.475,4.674,0.996,530.829,9.75,False,False,1.6051
2025-06-29,aws,aws-001,vm,EC2,us-east-1,4,8,21.393,5.134,1.786,523.446,11.374,False,False,1.8473
2025-06-30,aws,aws-001,vm,EC2,us-east-1,4,8,29.429,7.063,1.374,529.831,12.234,False,False,2.0073
2025-07-01,aws,aws-001,vm,EC2,us-east-1,4,8,39.649,9.516,3.287,525.238,12.163,False,False,2.3066
2025-07-02,aws,aws-001,vm,EC2,us-east-1,4,8,38.989,9.357,1.622,524.432,15.465,False,False,2.5395
2025-07-03,aws,aws-001,vm,EC2,us-east-1,4,8,38.226,9.174,2.157,531.161,9.583,False,False,2.1663
2025-07-04,aws,aws-001,vm,EC2,us-east-1,4,8,40.3,9.672,3.005,524.834,15.125,False,False,2.4532
2025-07-05,aws,aws-001,vm,EC2,us-east-1,4,8,24.477,5.874,1.275,524.725,9.049,False,False,1.931
2025-07-06,aws,aws-001,vm,EC2,us-east-1,4,8,18.548,4.451,1.153,532.688,10.987,False,False,1.6105
2025-07-07,aws,aws-001,vm,EC2,us-east-1,4,8,49.459,11.87,2.021,533.846,12.958,False,False,2.9427
2025-07-08,aws,aws-001,vm,EC2,us-east-1,4,8,36.307,8.714,2.457,530.214,6.847,False,False,2.2991
2025-07-09,aws,aws-001,vm,EC2,us-east-1,4,8,47.048,11.292,3.992,528.829,13.472,False,False,2.5274
2025-07-10,aws,aws-001,vm,EC2,us-east-1,4,8,39.801,9.552,2.722,532.683,9.191,False,False,2.2982
2025-07-11,aws,aws-001,vm,EC2,us-east-1,4,8,38.898,9.335,3.055,532.257,3.971,False,False,2.4448
2025-07-12,aws,aws-001,vm,EC2,us-east-1,4,8,19.875,4.77,1.499,526.115,5.969,False,False,1.5423
2025-07-13,aws,aws-001,vm,EC2,us-east-1,4,8,21.972,5.273,1.027,530.28,6.57,False,False,1.6189
2025-07-14,aws,aws-001,vm,EC2,us-east-1,4,8,37.236,8.937,2.527,532.689,7.842,False,False,2.4367
2025-07-15,aws,aws-001,vm,EC2,us-east-1,4,8,39.4,9.456,1.857,528.503,10.452,False,False,2.5566
2025-07-16,aws,aws-001,vm,EC2,us-east-1,4,8,46.205,11.089,1.997,531.378,8.761,False,False,2.7639
2025-07-17,aws,aws-001,vm,EC2,us-east-1,4,8,38.427,9.223,1.916,539.21,7.601,False,False,2.1273
2025-07-18,aws,aws-001,vm,EC2,us-east-1,4,8,34.353,8.245,2.239,536.312,4.589,False,False,2.1359
2025-07-19,aws,aws-001,vm,EC2,us-east-1,4,8,17.646,4.235,0.837,532.97,9.659,False,False,1.6968
2025-07-20,aws,aws-001,vm,EC2,us-east-1,4,8,16.984,4.076,1.204,530.067,9.322,False,False,1.3496
2025-07-21,aws,aws-001,vm,EC2,us-east-1,4,8,33.093,7.942,2.461,532.432,10.884,False,False,2.012
2025-07-22,aws,aws-001,vm,EC2,us-east-1,4,8,35.255,8.461,1.444,529.613,11.142,False,False,2.0779
2025-07-23,aws,aws-001,vm,EC2,us-east-1,4,8,32.152,7.716,2.293,532.248,10.084,False,False,1.9762
2025-07-24,aws,aws-001,vm,EC2,us-east-1,4,8,34.725,8.334,2.773,534.933,15.773,False,False,2.1189
2025-07-25,aws,aws-001,vm,EC2,us-east-1,4,8,29.155,6.997,1.576,528.891,15.994,False,False,2.1773
2025-07-26,aws,aws-001,vm,EC2,us-east-1,4,8,18.009,4.322,0.945,537.347,14.379,False,False,1.4903
2025-07-27,aws,aws-001,vm,EC2,us-east-1,4,8,15.819,3.796,1.107,538.24,3.87,False,False,1.369
2025-07-28,aws,aws-001,vm,EC2,us-east-1,4,8,34.028,8.167,2.608,534.51,13.732,False,False,2.3094
2025-07-29,aws,aws-001,vm,EC2,us-east-1,4,8,33.779,8.107,2.041,541.566,12.827,False,False,2.0799
2025-07-30,aws,aws-001,vm,EC2,us-east-1,4,8,35.126,8.43,3.065,534.848,6.978,False,False,2.0732
2025-07-31,aws,aws-001,vm,EC2,us-east-1,4,8,35.607,8.546,1.456,530.811,12.51,False,False,2.2565
2025-08-01,aws,aws-001,vm,EC2,us-east-1,4,8,39.705,9.529,1.982,537.418,15.815,False,False,2.4967
2025-08-02,aws,aws-001,vm,EC2,us-east-1,4,8,24.803,5.953,1.201,535.826,13.015,False,False,1.7824
2025-08-03,aws,aws-001,vm,EC2,us-east-1,4,8,20.489,4.917,0.983,536.678,9.448,False,False,1.6697
2025-08-04,aws,aws-001,vm,EC2,us-east-1,4,8,38.873,9.329,2.013,532.328,8.538,False,False,2.2639
2025-08-05,aws,aws-001,vm,EC2,us-east-1,4,8,34.901,8.376,2.345,540.361,17.082,False,False,2.436
2025-08-06,aws,aws-001,vm,EC2,us-east-1,4,8,37.926,9.102,2.851,539.323,6.353,False,False,2.0899
2025-08-07,aws,aws-001,vm,EC2,us-east-1,4,8,49.517,11.884,2.775,537.512,10.132,False,False,2.5807
2025-08-08,aws,aws-001,vm,EC2,us-east-1,4,8,40.54,9.73,3.039,544.025,10.831,False,False,2.3924
2025-08-09,aws,aws-001,vm,EC2,us-east-1,4,8,24.723,5.933,1.937,536.713,7.33,False,False,1.8059
2025-08-10,aws,aws-001,vm,EC2,us-east-1,4,8,25.135,6.032,1.441,534.742,9.924,False,False,1.8267
2025-08-11,aws,aws-001,vm,EC2,us-east-1,4,8,40.605,9.745,3.196,540.832,14.833,False,False,2.5979
2025-08-12,aws,aws-001,vm,EC2,us-east-1,4,8,42.783,10.268,2.224,534.72,10.853,False,False,2.6921
2025-08-13,aws,aws-001,vm,EC2,us-east-1,4,8,39.754,9.541,1.935,540.223,13.41,False,False,2.2244
2025-08-14,aws,aws-001,vm,EC2,us-east-1,4,8,37.966,9.112,2.79,541.24,10.271,False,False,2.5001
2025-08-15,aws,aws-001,vm,EC2,us-east-1,4,8,36.603,8.785,2.979,542.245,9.482,False,False,2.3839
2025-08-16,aws,aws-001,vm,EC2,us-east-1,4,8,22.862,5.487,0.955,536.285,12.052,False,False,1.5936
2025-08-17,aws,aws-001,vm,EC2,us-east-1,4,8,21.02,5.045,1.184,539.364,9.721,False,False,1.58
2025-08-18,aws,aws-001,vm,EC2,us-east-1,4,8,35.002,8.4,2.306,539.148,13.971,False,False,2.2834
2025-08-19,aws,aws-001,vm,EC2,us-east-1,4,8,34.789,8.349,1.78,544.069,12.975,False,False,2.3385
2025-08-20,aws,aws-001,vm,EC2,us-east-1,4,8,33.481,8.036,2.943,545.37,8.753,False,False,2.0885
2025-08-21,aws,aws-001,vm,EC2,us-east-1,4,8,40.442,9.706,3.314,540.911,5.925,False,False,2.458
2025-08-22,aws,aws-001,vm,EC2,us-east-1,4,8,26.847,6.443,1.382,541.399,8.23,False,False,1.7792
2025-08-23,aws,aws-001,vm,EC2,us-east-1,4,8,17.013,4.083,0.715,540.297,4.607,False,False,1.5215
2025-08-24,aws,aws-001,vm,EC2,us-east-1,4,8,16.628,3.991,0.839,542.403,7.922,False,False,1.6214
2025-08-25,aws,aws-001,vm,EC2,us-east-1,4,8,32.415,7.78,2.251,545.224,14.279,False,False,2.147
2025-08-26,aws,aws-001,vm,EC2,us-east-1,4,8,38.213,9.171,1.952,541.947,9.12,False,False,2.1848
2025-08-27,aws,aws-001,vm,EC2,us-east-1,4,8,31.201,7.488,1.335,547.367,9.629,False,False,2.1538
2025-08-28,aws,aws-001,vm,EC2,us-east-1,4,8,29.907,7.178,2.196,545.131,9.588,False,False,1.8884
2025-08-29,aws,aws-001,vm,EC2,us-east-1,4,8,35.237,8.457,2.412,539.853,8.325,False,False,2.3372
2025-08-30,aws,aws-001,vm,EC2,us-east-1,4,8,20.902,5.016,1.102,546.33,13.752,False,False,1.7157
2025-08-31,aws,aws-001,vm,EC2,us-east-1,4,8,20.628,4.951,1.194,542.605,13.147,False,False,1.6742
2025-09-01,aws,aws-001,vm,EC2,us-east-1,4,8,33.255,7.981,1.46,547.384,7.616,False,False,1.9397
2025-09-02,aws,aws-001,vm,EC2,us-east-1,4,8,37.403,8.977,2.359,549.165,14.515,False,False,2.2782
2025-09-03,aws,aws-001,vm,EC2,us-east-1,4,8,39.424,9.462,2.86,540.982,12.334,False,False,2.5395
2025-09-04,aws,aws-001,vm,EC2,us-east-1,4,8,40.96,9.83,3.311,549.526,12.2,False,False,2.5875
2025-09-05,aws,aws-001,vm,EC2,us-east-1,4,8,41.915,10.06,3.08,549.526,15.601,False,False,2.6246
2025-09-06,aws,aws-001,vm,EC2,us-east-1,4,8,22.613,5.427,1.268,547.24,8.474,False,False,1.8363
2025-09-07,aws,aws-001,vm,EC2,us-east-1,4,8,24.231,5.816,1.937,546.423,10.592,False,False,1.7066
2025-09-08,aws,aws-001,vm,EC2,us-east-1,4,8,40.337,9.681,2.837,547.539,13.228,False,False,2.4535
2025-09-09,aws,aws-001,vm,EC2,us-east-1,4,8,34.101,8.184,2.64,548.5,9.614,False,False,2.1792
2025-09-10,aws,aws-001,vm,EC2,us-east-1,4,8,38.745,9.299,2.726,548.837,11.457,False,False,2.1869
2025-09-11,aws,aws-001,vm,EC2,us-east-1,4,8,40.255,9.661,2.192,547.211,11.49,False,False,2.4495
2025-09-12,aws,aws-001,vm,EC2,us-east-1,4,8,42.671,10.241,1.801,544.03,12.125,False,False,2.323
2025-09-13,aws,aws-001,vm,EC2,us-east-1,4,8,20.705,4.969,0.85,548.507,4.391,False,False,1.7042
2025-09-14,aws,aws-001,vm,EC2,us-east-1,4,8,20.246,4.859,1.076,554.843,6.796,False,False,1.7257
2025-09-15,aws,aws-001,vm,EC2,us-east-1,4,8,35.36,8.486,2.592,552.866,14.78,False,False,2.1756
2025-09-16,aws,aws-001,vm,EC2,us-east-1,4,8,37.544,9.01,2.258,549.502,7.219,False,False,2.1814
2025-09-17,aws,aws-001,vm,EC2,us-east-1,4,8,40.269,9.665,3.513,552.794,10.347,False,False,2.3025
2025-09-18,aws,aws-001,vm,EC2,us-east-1,4,8,29.643,7.114,2.415,554.731,12.228,False,False,1.897
2025-09-19,aws,aws-001,vm,EC2,us-east-1,4,8,33.228,7.975,2.715,552.823,12.965,False,False,2.3042
2025-09-20,aws,aws-001,vm,EC2,us-east-1,4,8,20.414,4.899,0.945,554.987,14.238,False,False,1.6813
2025-09-21,aws,aws-001,vm,EC2,us-east-1,4,8,19.937,4.785,0.91,552.425,8.206,False,False,1.5801
2025-09-22,aws,aws-001,vm,EC2,us-east-1,4,8,32.29,7.749,1.391,547.308,6.001,False,False,2.175
2025-09-23,aws,aws-001,vm,EC2,us-east-1,4,8,34.25,8.22,1.88,551.069,10.746,False,False,2.0109
2025-09-24,aws,aws-001,vm,EC2,us-east-1,4,8,31.103,7.465,2.14,544.928,13.817,False,False,2.2307
2025-09-25,aws,aws-001,vm,EC2,us-east-1,4,8,29.286,7.029,2.268,552.427,8.99,False,False,1.8169
2025-09-26,aws,aws-001,vm,EC2,us-east-1,4,8,33.313,7.995,2.321,549.325,12.374,False,False,1.9646
2025-09-27,aws,aws-001,vm,EC2,us-east-1,4,8,23.287,5.589,1.296,550.471,10.672,False,False,1.6999
2025-09-28,aws,aws-001,vm,EC2,us-east-1,4,8,18.128,4.351,1.219,552.557,13.402,False,False,1.4707
2025-09-29,aws,aws-001,vm,EC2,us-east-1,4,8,37.449,8.988,1.799,554.527,8.503,False,False,2.3678
2025-04-03,aws,aws-002,vm,EC2,eu-west-1,4,8,36.215,8.692,2.681,498.059,12.049,False,False,2.347
2025-04-04,aws,aws-002,vm,EC2,eu-west-1,4,8,39.253,9.421,2.21,500.644,13.793,False,False,2.4894
2025-04-05,aws,aws-002,vm,EC2,eu-west-1,4,8,26.389,6.333,1.722,498.532,9.525,False,False,1.6481
2025-04-06,aws,aws-002,vm,EC2,eu-west-1,4,8,22.689,5.445,1.177,497.805,8.957,False,False,1.7915
2025-04-07,aws,aws-002,vm,EC2,eu-west-1,4,8,38.581,9.259,2.572,507.627,8.126,False,False,2.4843
2025-04-08,aws,aws-002,vm,EC2,eu-west-1,4,8,42.065,10.095,3.651,498.117,12.702,False,False,2.5294
2025-04-09,aws,aws-002,vm,EC2,eu-west-1,4,8,38.409,9.218,3.137,496.794,13.72,False,False,2.2963
2025-04-10,aws,aws-002,vm,EC2,eu-west-1,4,8,43.036,10.329,2.436,497.415,17.038,False,False,2.6276
2025-04-11,aws,aws-002,vm,EC2,eu-west-1,4,8,43.85,10.524,3.65,502.284,6.154,False,False,2.5009
2025-04-12,aws,aws-002,vm,EC2,eu-west-1,4,8,21.68,5.203,1.817,504.299,6.759,False,False,1.6729
2025-04-13,aws,aws-002,vm,EC2,eu-west-1,4,8,21.391,5.134,1.591,504.187,11.485,False,False,1.6534
2025-04-14,aws,aws-002,vm,EC2,eu-west-1,4,8,37.548,9.012,1.948,502.83,14.088,False,False,2.3078
2025-04-15,aws,aws-002,vm,EC2,eu-west-1,4,8,42.495,10.199,2.033,498.381,12.143,False,False,2.3718
2025-04-16,aws,aws-002,vm,EC2,eu-west-1,4,8,37.139,8.913,2.656,507.223,8.767,False,False,2.0888
2025-04-17,aws,aws-002,vm,EC2,eu-west-1,4,8,36.576,8.778,1.877,505.631,4.592,False,False,2.3033
2025-04-18,aws,aws-002,vm,EC2,eu-west-1,4,8,36.915,8.86,2.24,506.447,6.71,False,False,2.2895
2025-04-19,aws,aws-002,vm,EC2,eu-west-1,4,8,19.846,4.763,0.829,503.752,13.018,False,False,1.6019
2025-04-20,aws,aws-002,vm,EC2,eu-west-1,4,8,22.609,5.426,1.82,506.188,14.439,False,False,1.8817
2025-04-21,aws,aws-002,vm,EC2,eu-west-1,4,8,33.006,7.921,1.748,504.811,10.937,False,False,2.272
2025-04-22,aws,aws-002,vm,EC2,eu-west-1,4,8,31.033,7.448,1.3,505.307,7.64,False,False,2.1627
2025-04-23,aws,aws-002,vm,EC2,eu-west-1,4,8,33.141,7.954,1.392,500.005,11.213,False,False,2.2486
2025-04-24,aws,aws-002,vm,EC2,eu-west-1,4,8,34.05,8.172,2.105,499.997,19.63,False,False,2.2872
2025-04-25,aws,aws-002,vm,EC2,eu-west-1,4,8,36.012,8.643,1.789,503.48,11.694,False,False,2.1969
2025-04-26,aws,aws-002,vm,EC2,eu-west-1,4,8,17.681,4.243,1.444,508.542,7.673,False,False,1.6146
2025-04-27,aws,aws-002,vm,EC2,eu-west-1,4,8,19.289,4.629,1.232,508.295,13.352,False,False,1.626
2025-04-28,aws,aws-002,vm,EC2,eu-west-1,4,8,33.894,8.135,1.405,508.093,12.161,False,False,2.2172
2025-04-29,aws,aws-002,vm,EC2,eu-west-1,4,8,35.453,8.509,2.088,504.371,8.536,False,False,2.2302
2025-04-30,aws,aws-002,vm,EC2,eu-west-1,4,8,34.889,8.373,3.069,511.115,10.08,False,False,2.2794
2025-05-01,aws,aws-002,vm,EC2,eu-west-1,4,8,40.109,9.626,3.296,509.761,5.908,False,False,2.3911
2025-05-02,aws,aws-002,vm,EC2,eu-west-1,4,8,31.96,7.67,2.518,510.864,12.673,False,False,2.0539
2025-05-03,aws,aws-002,vm,EC2,eu-west-1,4,8,20.685,4.964,1.368,509.377,6.662,False,False,1.6635
2025-05-04,aws,aws-002,vm,EC2,eu-west-1,4,8,17.913,4.299,1.051,504.642,9.519,False,False,1.4529
2025-05-05,aws,aws-002,vm,EC2,eu-west-1,4,8,43.616,10.468,3.042,512.629,4.3,False,False,2.5904
2025-05-06,aws,aws-002,vm,EC2,eu-west-1,4,8,35.513,8.523,2.305,508.537,10.792,False,False,2.1319
2025-05-07,aws,aws-002,vm,EC2,eu-west-1,4,8,33.301,7.992,2.259,505.264,17.785,False,False,2.2836
2025-05-08,aws,aws-002,vm,EC2,eu-west-1,4,8,41.954,10.069,3.315,509.742,12.183,False,False,2.6285
2025-05-09,aws,aws-002,vm,EC2,eu-west-1,4,8,36.451,8.748,2.308,509.958,8.263,False,False,2.1302
2025-05-10,aws,aws-002,vm,EC2,eu-west-1,4,8,20.816,4.996,1.635,505.364,11.69,False,False,1.6815
2025-05-11,aws,aws-002,vm,EC2,eu-west-1,4,8,20.804,4.993,1.245,514.222,10.096,False,False,1.7008
2025-05-12,aws,aws-002,vm,EC2,eu-west-1,4,8,38.796,9.311,1.89,517.24,11.598,False,False,2.1795
2025-05-13,aws,aws-002,vm,EC2,eu-west-1,4,8,32.886,7.893,2.836,513.321,14.982,False,False,2.1606
2025-05-14,aws,aws-002,vm,EC2,eu-west-1,4,8,38.385,9.212,1.615,513.716,11.339,False,False,2.3561
2025-05-15,aws,aws-002,vm,EC2,eu-west-1,4,8,38.302,9.193,1.952,512.722,12.418,False,False,2.2867
2025-05-16,aws,aws-002,vm,EC2,eu-west-1,4,8,32.607,7.826,2.619,512.074,13.037,False,False,2.004
2025-05-17,aws,aws-002,vm,EC2,eu-west-1,4,8,19.897,4.775,1.581,515.885,15.936,False,False,1.4915
2025-05-18,aws,aws-002,vm,EC2,eu-west-1,4,8,19.261,4.623,1.347,520.168,6.749,False,False,1.4078
